"dataset_id","device_id","timestamp","dt_arrival","lat","lon","speed","heading","quality","engine","veh_type"
1,7256380,2023-03-24 08:17:03.000,2023-03-24 09:12:03.000 +0100,"40,75007","14,679918","0",228,10,moving,2
1,7253874,2023-03-24 08:22:57.000,2023-03-24 09:17:57.000 +0100,"41,939368","12,488853","84",96,10,moving,2
1,7253874,2023-03-27 13:23:30.000,2023-03-27 15:18:30.000 +0200,"41,923013","12,568248","29",32,10,moving,2
1,4587566,2023-03-27 13:36:02.000,2023-03-27 15:31:02.000 +0200,"43,23991","13,21602","0",0,80,moving,2
1,4598694,2023-03-02 16:18:19.000,2023-03-02 17:13:19.000 +0100,"40,99791","16,869347","11",82,16,moving,1
1,2808008,2023-03-27 14:55:29.000,2023-03-27 16:50:29.000 +0200,"45,499183","9,074776","26",10,10,moving,2
1,4562160,2023-03-08 12:15:16.000,2023-03-08 13:10:16.000 +0100,"41,046101","14,345708","27",4,9,moving,1
1,1653246,2023-03-02 16:27:32.000,2023-03-02 17:22:32.000 +0100,"41,882931","12,520157","0",0,12,moving,1
1,7254005,2023-03-27 03:33:09.000,2023-03-27 05:28:09.000 +0200,"41,234603","16,493331","9",216,10,moving,2
1,4472110,2023-03-02 16:39:06.000,2023-03-02 17:34:06.000 +0100,"41,441158","15,561538","21",180,11,moving,1
1,4076459,2023-03-02 17:12:14.000,2023-03-02 18:07:14.000 +0100,"38,487953","15,975404","16",108,9,moving,1
1,7244656,2023-03-27 13:26:58.000,2023-03-27 15:21:58.000 +0200,"37,556236","14,51579","0",0,10,moving,2
1,4275130,2023-03-02 16:43:57.000,2023-03-02 17:38:57.000 +0100,"45,79073","9,095994","37",66,15,moving,1
1,7254005,2023-03-27 02:31:27.000,2023-03-27 04:26:27.000 +0200,"41,232225","16,499948","0",0,10,moving,2
1,4614314,2023-03-02 17:14:24.000,2023-03-02 18:09:24.000 +0100,"44,812103","8,136595","110",210,11,moving,1
1,4650383,2023-03-01 03:43:08.000,2023-03-01 04:38:08.000 +0100,"45,536007","12,141038","87",176,13,on,1
1,4483098,2023-03-02 16:49:09.000,2023-03-02 17:44:09.000 +0100,"45,230865","7,592747","33",112,8,moving,1
1,4569393,2023-03-24 08:15:04.000,2023-03-24 09:10:04.000 +0100,"41,72751","13,63366","13",136,10,moving,2
1,4627624,2023-03-08 13:09:21.000,2023-03-08 14:04:21.000 +0100,"40,82185","14,772526","43",90,11,moving,1
1,5987233,2023-03-01 04:10:49.000,2023-03-01 05:05:49.000 +0100,"37,790604","14,830941","3",336,13,on,1
1,5987233,2023-03-02 16:18:15.000,2023-03-02 17:13:15.000 +0100,"37,790333","14,831028","0",290,9,moving,1
1,7254005,2023-03-27 21:18:29.000,2023-03-27 23:13:29.000 +0200,"41,244658","16,50393","1",0,10,moving,2
1,7254005,2023-03-24 08:10:37.000,2023-03-24 09:05:37.000 +0100,"41,235061","16,505565","13",119,10,moving,2
1,7243274,2023-03-24 11:46:44.000,2023-03-24 12:41:44.000 +0100,"45,675378","9,640878","0",0,10,moving,2
1,3322105,2023-03-08 13:11:40.000,2023-03-08 14:06:40.000 +0100,"40,723679","14,571002","1",180,11,moving,1
1,5987233,2023-03-01 01:58:21.000,2023-03-01 02:53:21.000 +0100,"37,790531","14,830909","2",58,17,on,1
1,7254005,2023-03-27 21:19:19.000,2023-03-27 23:14:19.000 +0200,"41,244986","16,505123","0",0,10,moving,2
1,5987233,2023-03-01 03:17:47.000,2023-03-01 04:12:47.000 +0100,"37,790493","14,83092","3",242,19,on,1
1,4599856,2023-03-02 16:44:53.000,2023-03-02 17:39:53.000 +0100,"42,440987","14,234112","73",100,13,moving,1
1,5987233,2023-03-01 00:02:07.000,2023-03-01 00:57:07.000 +0100,"37,790386","14,83083","6",288,38,on,1
1,7257415,2023-03-28 03:35:39.000,2023-03-28 05:30:39.000 +0200,"44,859633","10,23807","0",0,10,moving,2
1,7254005,2023-03-27 02:35:56.000,2023-03-27 04:30:56.000 +0200,"41,232716","16,500568","0",0,10,moving,2
1,5987233,2023-03-01 02:52:29.000,2023-03-01 03:47:29.000 +0100,"37,790615","14,830275","4",264,38,on,1
1,1653729,2023-03-02 16:38:31.000,2023-03-02 17:33:31.000 +0100,"41,334713","14,338016","1",0,17,moving,1
1,5987233,2023-03-01 04:05:50.000,2023-03-01 05:00:50.000 +0100,"37,790512","14,830932","2",224,11,on,1
1,5987233,2023-03-01 02:09:37.000,2023-03-01 03:04:37.000 +0100,"37,790428","14,830835","2",6,17,on,1
1,2787281,2023-03-27 06:03:55.000,2023-03-27 07:58:55.000 +0200,"45,61538","9,486721","0",0,10,moving,2
1,5987233,2023-03-01 01:49:17.000,2023-03-01 02:44:17.000 +0100,"37,790508","14,83095","3",320,18,on,1
1,4359980,2023-03-02 16:40:35.000,2023-03-02 17:35:35.000 +0100,"45,522141","9,043787","0",0,11,moving,1
1,7254005,2023-03-27 21:25:29.000,2023-03-27 23:20:29.000 +0200,"41,24358","16,502008","0",0,10,moving,2
1,5987233,2023-03-01 04:43:20.000,2023-03-01 05:38:20.000 +0100,"37,790478","14,830807","3",280,24,on,1
1,7243274,2023-03-24 13:04:16.000,2023-03-24 13:59:16.000 +0100,"45,571971","10,034848","87",284,10,moving,2
1,7254005,2023-03-27 22:04:39.000,2023-03-27 23:59:39.000 +0200,"41,242603","16,495896","0",0,10,moving,2
1,4103929,2023-03-02 16:31:00.000,2023-03-02 17:26:00.000 +0100,"41,940914","12,424565","0",130,19,moving,1
